rideCount,endLoc,dayofweek,hourofday,end_lt,end_lg
8,"-84.21, 33.96",Friday,4,33.96,-84.21
6,"-84.25, 33.94",Friday,4,33.94,-84.25
5,"-84.26, 33.96",Friday,4,33.96,-84.26
7,"-84.14, 34.0",Friday,5,34.0,-84.14
5,"-84.2, 33.92",Friday,5,33.92,-84.2
5,"-84.21, 33.91",Friday,5,33.91,-84.21
5,"-84.21, 33.95",Friday,5,33.95,-84.21
5,"-84.21, 33.96",Friday,5,33.96,-84.21
5,"-84.24, 33.94",Friday,5,33.94,-84.24
5,"-84.22, 33.92",Friday,6,33.92,-84.22
7,"-84.2, 33.92",Friday,7,33.92,-84.2
7,"-84.22, 33.91",Friday,7,33.91,-84.22
6,"-84.18, 33.92",Friday,8,33.92,-84.18
5,"-84.11, 33.96",Friday,9,33.96,-84.11
6,"-84.22, 33.93",Friday,9,33.93,-84.22
8,"-84.22, 33.98",Friday,9,33.98,-84.22
8,"-84.24, 33.95",Friday,9,33.95,-84.24
11,"-84.25, 33.94",Friday,9,33.94,-84.25
7,"-84.15, 33.92",Friday,10,33.92,-84.15
5,"-84.16, 33.93",Friday,10,33.93,-84.16
5,"-84.16, 33.97",Friday,10,33.97,-84.16
5,"-84.18, 33.92",Friday,10,33.92,-84.18
6,"-84.22, 33.93",Friday,10,33.93,-84.22
8,"-84.22, 33.96",Friday,10,33.96,-84.22
5,"-84.22, 33.98",Friday,10,33.98,-84.22
10,"-84.24, 33.95",Friday,10,33.95,-84.24
9,"-84.25, 33.94",Friday,10,33.94,-84.25
5,"-84.25, 33.95",Friday,10,33.95,-84.25
14,"-84.28, 33.9",Friday,10,33.9,-84.28
6,"-84.56, 33.88",Friday,10,33.88,-84.56
9,"-84.06, 33.95",Friday,11,33.95,-84.06
6,"-84.14, 33.96",Friday,11,33.96,-84.14
8,"-84.16, 33.97",Friday,11,33.97,-84.16
15,"-84.18, 33.92",Friday,11,33.92,-84.18
10,"-84.18, 33.96",Friday,11,33.96,-84.18
6,"-84.21, 33.93",Friday,11,33.93,-84.21
9,"-84.21, 33.94",Friday,11,33.94,-84.21
9,"-84.22, 33.92",Friday,11,33.92,-84.22
10,"-84.22, 33.96",Friday,11,33.96,-84.22
5,"-84.23, 33.92",Friday,11,33.92,-84.23
10,"-84.23, 33.94",Friday,11,33.94,-84.23
7,"-84.24, 33.94",Friday,11,33.94,-84.24
14,"-84.24, 33.95",Friday,11,33.95,-84.24
7,"-84.25, 33.94",Friday,11,33.94,-84.25
7,"-84.25, 33.95",Friday,11,33.95,-84.25
5,"-84.26, 33.95",Friday,11,33.95,-84.26
14,"-84.28, 33.9",Friday,11,33.9,-84.28
5,"-84.48, 33.88",Friday,11,33.88,-84.48
9,"-84.15, 34.0",Friday,12,34.0,-84.15
7,"-84.18, 33.96",Friday,12,33.96,-84.18
8,"-84.19, 33.97",Friday,12,33.97,-84.19
7,"-84.21, 33.91",Friday,12,33.91,-84.21
12,"-84.22, 33.92",Friday,12,33.92,-84.22
5,"-84.22, 33.93",Friday,12,33.93,-84.22
5,"-84.22, 33.95",Friday,12,33.95,-84.22
6,"-84.22, 33.96",Friday,12,33.96,-84.22
11,"-84.22, 33.97",Friday,12,33.97,-84.22
11,"-84.23, 33.94",Friday,12,33.94,-84.23
13,"-84.24, 33.94",Friday,12,33.94,-84.24
12,"-84.24, 33.95",Friday,12,33.95,-84.24
14,"-84.25, 33.94",Friday,12,33.94,-84.25
5,"-84.26, 33.95",Friday,12,33.95,-84.26
8,"-84.26, 33.96",Friday,12,33.96,-84.26
14,"-84.28, 33.9",Friday,12,33.9,-84.28
5,"-84.12, 33.94",Friday,13,33.94,-84.12
6,"-84.14, 33.95",Friday,13,33.95,-84.14
5,"-84.16, 34.01",Friday,13,34.01,-84.16
6,"-84.18, 33.92",Friday,13,33.92,-84.18
5,"-84.18, 33.93",Friday,13,33.93,-84.18
6,"-84.19, 33.97",Friday,13,33.97,-84.19
8,"-84.2, 33.89",Friday,13,33.89,-84.2
16,"-84.21, 33.9",Friday,13,33.9,-84.21
6,"-84.21, 33.94",Friday,13,33.94,-84.21
6,"-84.22, 33.91",Friday,13,33.91,-84.22
7,"-84.22, 33.92",Friday,13,33.92,-84.22
6,"-84.22, 33.93",Friday,13,33.93,-84.22
7,"-84.22, 33.97",Friday,13,33.97,-84.22
11,"-84.22, 33.98",Friday,13,33.98,-84.22
7,"-84.23, 33.97",Friday,13,33.97,-84.23
20,"-84.24, 33.95",Friday,13,33.95,-84.24
5,"-84.24, 33.96",Friday,13,33.96,-84.24
30,"-84.25, 33.94",Friday,13,33.94,-84.25
6,"-84.25, 33.95",Friday,13,33.95,-84.25
9,"-84.26, 33.93",Friday,13,33.93,-84.26
9,"-84.26, 33.95",Friday,13,33.95,-84.26
9,"-84.26, 33.96",Friday,13,33.96,-84.26
10,"-84.27, 33.92",Friday,13,33.92,-84.27
10,"-84.28, 33.9",Friday,13,33.9,-84.28
7,"-84.28, 33.94",Friday,13,33.94,-84.28
5,"-84.19, 33.93",Friday,14,33.93,-84.19
8,"-84.19, 33.97",Friday,14,33.97,-84.19
5,"-84.2, 33.96",Friday,14,33.96,-84.2
5,"-84.2, 34.01",Friday,14,34.01,-84.2
5,"-84.21, 33.9",Friday,14,33.9,-84.21
12,"-84.21, 33.94",Friday,14,33.94,-84.21
7,"-84.21, 33.96",Friday,14,33.96,-84.21
8,"-84.22, 33.92",Friday,14,33.92,-84.22
9,"-84.22, 33.93",Friday,14,33.93,-84.22
12,"-84.22, 33.97",Friday,14,33.97,-84.22
12,"-84.22, 33.98",Friday,14,33.98,-84.22
23,"-84.24, 33.95",Friday,14,33.95,-84.24
18,"-84.25, 33.94",Friday,14,33.94,-84.25
13,"-84.25, 33.95",Friday,14,33.95,-84.25
6,"-84.26, 33.94",Friday,14,33.94,-84.26
8,"-84.26, 33.95",Friday,14,33.95,-84.26
17,"-84.26, 33.96",Friday,14,33.96,-84.26
11,"-84.28, 33.9",Friday,14,33.9,-84.28
6,"-84.34, 33.92",Friday,14,33.92,-84.34
5,"-84.13, 33.94",Friday,15,33.94,-84.13
6,"-84.13, 33.96",Friday,15,33.96,-84.13
5,"-84.19, 33.93",Friday,15,33.93,-84.19
7,"-84.2, 33.89",Friday,15,33.89,-84.2
12,"-84.21, 33.9",Friday,15,33.9,-84.21
6,"-84.21, 33.96",Friday,15,33.96,-84.21
11,"-84.22, 33.91",Friday,15,33.91,-84.22
7,"-84.22, 33.92",Friday,15,33.92,-84.22
6,"-84.22, 33.93",Friday,15,33.93,-84.22
6,"-84.22, 33.94",Friday,15,33.94,-84.22
12,"-84.22, 33.97",Friday,15,33.97,-84.22
11,"-84.22, 33.98",Friday,15,33.98,-84.22
5,"-84.23, 33.93",Friday,15,33.93,-84.23
8,"-84.24, 33.94",Friday,15,33.94,-84.24
21,"-84.24, 33.95",Friday,15,33.95,-84.24
6,"-84.25, 33.92",Friday,15,33.92,-84.25
30,"-84.25, 33.94",Friday,15,33.94,-84.25
8,"-84.25, 33.95",Friday,15,33.95,-84.25
6,"-84.26, 33.94",Friday,15,33.94,-84.26
12,"-84.26, 33.95",Friday,15,33.95,-84.26
12,"-84.26, 33.96",Friday,15,33.96,-84.26
5,"-84.27, 33.96",Friday,15,33.96,-84.27
5,"-84.13, 33.94",Friday,16,33.94,-84.13
6,"-84.2, 33.89",Friday,16,33.89,-84.2
9,"-84.21, 33.9",Friday,16,33.9,-84.21
5,"-84.22, 33.93",Friday,16,33.93,-84.22
7,"-84.22, 33.97",Friday,16,33.97,-84.22
8,"-84.23, 33.93",Friday,16,33.93,-84.23
11,"-84.24, 33.94",Friday,16,33.94,-84.24
15,"-84.24, 33.95",Friday,16,33.95,-84.24
5,"-84.25, 33.93",Friday,16,33.93,-84.25
18,"-84.25, 33.94",Friday,16,33.94,-84.25
11,"-84.25, 33.95",Friday,16,33.95,-84.25
14,"-84.26, 33.94",Friday,16,33.94,-84.26
12,"-84.26, 33.95",Friday,16,33.95,-84.26
14,"-84.26, 33.96",Friday,16,33.96,-84.26
5,"-84.27, 33.92",Friday,16,33.92,-84.27
6,"-84.27, 33.93",Friday,16,33.93,-84.27
5,"-84.27, 33.94",Friday,16,33.94,-84.27
13,"-84.28, 33.9",Friday,16,33.9,-84.28
7,"-84.31, 33.89",Friday,16,33.89,-84.31
5,"-84.12, 33.9",Friday,17,33.9,-84.12
5,"-84.2, 33.89",Friday,17,33.89,-84.2
6,"-84.21, 33.9",Friday,17,33.9,-84.21
5,"-84.21, 33.91",Friday,17,33.91,-84.21
6,"-84.21, 33.94",Friday,17,33.94,-84.21
8,"-84.21, 33.96",Friday,17,33.96,-84.21
6,"-84.22, 33.98",Friday,17,33.98,-84.22
14,"-84.23, 33.93",Friday,17,33.93,-84.23
11,"-84.24, 33.94",Friday,17,33.94,-84.24
12,"-84.24, 33.95",Friday,17,33.95,-84.24
27,"-84.25, 33.94",Friday,17,33.94,-84.25
13,"-84.25, 33.95",Friday,17,33.95,-84.25
7,"-84.26, 33.94",Friday,17,33.94,-84.26
7,"-84.26, 33.95",Friday,17,33.95,-84.26
11,"-84.26, 33.96",Friday,17,33.96,-84.26
8,"-84.28, 33.9",Friday,17,33.9,-84.28
6,"-84.53, 33.89",Friday,17,33.89,-84.53
5,"-84.14, 34.02",Friday,18,34.02,-84.14
7,"-84.2, 33.92",Friday,18,33.92,-84.2
10,"-84.21, 33.9",Friday,18,33.9,-84.21
9,"-84.21, 33.91",Friday,18,33.91,-84.21
6,"-84.21, 33.93",Friday,18,33.93,-84.21
9,"-84.21, 33.94",Friday,18,33.94,-84.21
15,"-84.21, 33.96",Friday,18,33.96,-84.21
6,"-84.22, 33.92",Friday,18,33.92,-84.22
6,"-84.22, 33.93",Friday,18,33.93,-84.22
7,"-84.22, 33.98",Friday,18,33.98,-84.22
10,"-84.23, 33.93",Friday,18,33.93,-84.23
8,"-84.24, 33.94",Friday,18,33.94,-84.24
10,"-84.24, 33.95",Friday,18,33.95,-84.24
30,"-84.25, 33.94",Friday,18,33.94,-84.25
11,"-84.25, 33.95",Friday,18,33.95,-84.25
14,"-84.26, 33.94",Friday,18,33.94,-84.26
12,"-84.26, 33.95",Friday,18,33.95,-84.26
9,"-84.26, 33.96",Friday,18,33.96,-84.26
5,"-84.27, 33.96",Friday,18,33.96,-84.27
6,"-84.28, 33.9",Friday,18,33.9,-84.28
7,"-84.28, 33.98",Friday,18,33.98,-84.28
5,"-84.13, 33.94",Friday,19,33.94,-84.13
5,"-84.17, 34.0",Friday,19,34.0,-84.17
9,"-84.18, 33.92",Friday,19,33.92,-84.18
7,"-84.2, 33.93",Friday,19,33.93,-84.2
6,"-84.21, 33.9",Friday,19,33.9,-84.21
9,"-84.21, 33.94",Friday,19,33.94,-84.21
9,"-84.21, 33.96",Friday,19,33.96,-84.21
9,"-84.22, 33.92",Friday,19,33.92,-84.22
5,"-84.22, 33.93",Friday,19,33.93,-84.22
20,"-84.22, 33.97",Friday,19,33.97,-84.22
11,"-84.23, 33.93",Friday,19,33.93,-84.23
9,"-84.24, 33.94",Friday,19,33.94,-84.24
10,"-84.24, 33.95",Friday,19,33.95,-84.24
27,"-84.25, 33.94",Friday,19,33.94,-84.25
13,"-84.25, 33.95",Friday,19,33.95,-84.25
7,"-84.26, 33.94",Friday,19,33.94,-84.26
17,"-84.26, 33.95",Friday,19,33.95,-84.26
7,"-84.26, 33.96",Friday,19,33.96,-84.26
7,"-84.27, 33.94",Friday,19,33.94,-84.27
6,"-84.27, 33.96",Friday,19,33.96,-84.27
6,"-84.28, 33.9",Friday,19,33.9,-84.28
9,"-84.06, 33.94",Friday,20,33.94,-84.06
5,"-84.14, 33.95",Friday,20,33.95,-84.14
5,"-84.17, 33.99",Friday,20,33.99,-84.17
9,"-84.2, 33.92",Friday,20,33.92,-84.2
6,"-84.21, 33.89",Friday,20,33.89,-84.21
8,"-84.21, 33.9",Friday,20,33.9,-84.21
6,"-84.21, 33.94",Friday,20,33.94,-84.21
6,"-84.21, 33.96",Friday,20,33.96,-84.21
12,"-84.22, 33.91",Friday,20,33.91,-84.22
8,"-84.22, 33.92",Friday,20,33.92,-84.22
5,"-84.22, 33.93",Friday,20,33.93,-84.22
5,"-84.22, 33.96",Friday,20,33.96,-84.22
13,"-84.22, 33.97",Friday,20,33.97,-84.22
9,"-84.24, 33.94",Friday,20,33.94,-84.24
13,"-84.24, 33.95",Friday,20,33.95,-84.24
30,"-84.25, 33.94",Friday,20,33.94,-84.25
17,"-84.25, 33.95",Friday,20,33.95,-84.25
6,"-84.26, 33.94",Friday,20,33.94,-84.26
9,"-84.26, 33.95",Friday,20,33.95,-84.26
9,"-84.26, 33.96",Friday,20,33.96,-84.26
8,"-84.14, 33.95",Friday,21,33.95,-84.14
5,"-84.17, 33.99",Friday,21,33.99,-84.17
6,"-84.19, 33.93",Friday,21,33.93,-84.19
9,"-84.2, 33.92",Friday,21,33.92,-84.2
7,"-84.21, 33.9",Friday,21,33.9,-84.21
5,"-84.21, 33.91",Friday,21,33.91,-84.21
7,"-84.21, 33.96",Friday,21,33.96,-84.21
9,"-84.22, 33.91",Friday,21,33.91,-84.22
11,"-84.22, 33.97",Friday,21,33.97,-84.22
5,"-84.23, 33.92",Friday,21,33.92,-84.23
6,"-84.24, 33.94",Friday,21,33.94,-84.24
11,"-84.24, 33.95",Friday,21,33.95,-84.24
7,"-84.25, 33.93",Friday,21,33.93,-84.25
26,"-84.25, 33.94",Friday,21,33.94,-84.25
7,"-84.25, 33.95",Friday,21,33.95,-84.25
10,"-84.26, 33.94",Friday,21,33.94,-84.26
11,"-84.26, 33.95",Friday,21,33.95,-84.26
5,"-84.14, 33.95",Friday,22,33.95,-84.14
6,"-84.15, 33.94",Friday,22,33.94,-84.15
9,"-84.17, 33.99",Friday,22,33.99,-84.17
5,"-84.2, 33.89",Friday,22,33.89,-84.2
5,"-84.2, 33.92",Friday,22,33.92,-84.2
6,"-84.2, 33.94",Friday,22,33.94,-84.2
8,"-84.21, 33.96",Friday,22,33.96,-84.21
5,"-84.22, 33.91",Friday,22,33.91,-84.22
7,"-84.22, 33.97",Friday,22,33.97,-84.22
12,"-84.24, 33.95",Friday,22,33.95,-84.24
32,"-84.25, 33.94",Friday,22,33.94,-84.25
12,"-84.25, 33.95",Friday,22,33.95,-84.25
15,"-84.26, 33.95",Friday,22,33.95,-84.26
6,"-84.27, 33.94",Friday,22,33.94,-84.27
5,"-84.16, 33.96",Friday,23,33.96,-84.16
5,"-84.17, 33.91",Friday,23,33.91,-84.17
6,"-84.18, 33.92",Friday,23,33.92,-84.18
8,"-84.2, 33.92",Friday,23,33.92,-84.2
5,"-84.21, 33.9",Friday,23,33.9,-84.21
16,"-84.21, 33.96",Friday,23,33.96,-84.21
6,"-84.22, 33.92",Friday,23,33.92,-84.22
5,"-84.24, 33.94",Friday,23,33.94,-84.24
11,"-84.24, 33.95",Friday,23,33.95,-84.24
5,"-84.25, 33.93",Friday,23,33.93,-84.25
28,"-84.25, 33.94",Friday,23,33.94,-84.25
10,"-84.25, 33.95",Friday,23,33.95,-84.25
12,"-84.26, 33.94",Friday,23,33.94,-84.26
15,"-84.26, 33.95",Friday,23,33.95,-84.26
5,"-84.28, 33.9",Friday,23,33.9,-84.28
5,"-84.17, 33.91",Monday,0,33.91,-84.17
6,"-84.2, 33.92",Monday,0,33.92,-84.2
5,"-84.21, 33.9",Monday,0,33.9,-84.21
7,"-84.21, 33.94",Monday,0,33.94,-84.21
14,"-84.21, 33.96",Monday,0,33.96,-84.21
6,"-84.21, 33.97",Monday,0,33.97,-84.21
6,"-84.22, 33.92",Monday,0,33.92,-84.22
18,"-84.25, 33.94",Monday,0,33.94,-84.25
5,"-84.25, 33.95",Monday,0,33.95,-84.25
8,"-84.26, 33.94",Monday,0,33.94,-84.26
9,"-84.26, 33.95",Monday,0,33.95,-84.26
6,"-84.16, 33.97",Monday,1,33.97,-84.16
5,"-84.19, 33.94",Monday,1,33.94,-84.19
7,"-84.2, 33.92",Monday,1,33.92,-84.2
6,"-84.21, 33.93",Monday,1,33.93,-84.21
6,"-84.22, 33.92",Monday,1,33.92,-84.22
5,"-84.23, 33.9",Monday,1,33.9,-84.23
15,"-84.25, 33.94",Monday,1,33.94,-84.25
12,"-84.26, 33.95",Monday,1,33.95,-84.26
5,"-84.28, 33.9",Monday,1,33.9,-84.28
8,"-84.21, 33.96",Monday,2,33.96,-84.21
13,"-84.25, 33.94",Monday,2,33.94,-84.25
8,"-84.25, 33.95",Monday,2,33.95,-84.25
7,"-84.26, 33.94",Monday,2,33.94,-84.26
12,"-84.26, 33.95",Monday,2,33.95,-84.26
5,"-84.27, 33.92",Monday,2,33.92,-84.27
5,"-84.28, 33.9",Monday,2,33.9,-84.28
5,"-84.19, 33.91",Monday,3,33.91,-84.19
5,"-84.2, 33.92",Monday,3,33.92,-84.2
8,"-84.21, 33.96",Monday,3,33.96,-84.21
6,"-84.24, 33.94",Monday,3,33.94,-84.24
10,"-84.25, 33.94",Monday,3,33.94,-84.25
6,"-84.26, 33.95",Monday,3,33.95,-84.26
7,"-84.28, 33.9",Monday,3,33.9,-84.28
8,"-84.19, 33.91",Monday,4,33.91,-84.19
5,"-84.22, 33.92",Monday,4,33.92,-84.22
5,"-84.26, 33.96",Monday,4,33.96,-84.26
5,"-84.19, 33.91",Monday,5,33.91,-84.19
5,"-84.21, 33.93",Monday,5,33.93,-84.21
6,"-84.22, 33.92",Monday,7,33.92,-84.22
6,"-84.18, 33.92",Monday,8,33.92,-84.18
5,"-84.23, 33.92",Monday,8,33.92,-84.23
5,"-84.27, 33.93",Monday,8,33.93,-84.27
5,"-84.28, 33.9",Monday,8,33.9,-84.28
5,"-84.24, 33.95",Monday,9,33.95,-84.24
7,"-84.25, 33.94",Monday,9,33.94,-84.25
10,"-84.28, 33.9",Monday,9,33.9,-84.28
5,"-84.53, 33.99",Monday,9,33.99,-84.53
5,"-84.16, 33.97",Monday,10,33.97,-84.16
5,"-84.22, 33.92",Monday,10,33.92,-84.22
5,"-84.22, 33.94",Monday,10,33.94,-84.22
9,"-84.22, 33.96",Monday,10,33.96,-84.22
8,"-84.22, 33.98",Monday,10,33.98,-84.22
7,"-84.24, 33.95",Monday,10,33.95,-84.24
16,"-84.25, 33.94",Monday,10,33.94,-84.25
7,"-84.26, 33.94",Monday,10,33.94,-84.26
20,"-84.28, 33.9",Monday,10,33.9,-84.28
10,"-84.06, 33.95",Monday,11,33.95,-84.06
6,"-84.14, 33.96",Monday,11,33.96,-84.14
6,"-84.16, 33.97",Monday,11,33.97,-84.16
6,"-84.18, 33.92",Monday,11,33.92,-84.18
9,"-84.18, 33.96",Monday,11,33.96,-84.18
5,"-84.19, 34.03",Monday,11,34.03,-84.19
6,"-84.21, 33.94",Monday,11,33.94,-84.21
6,"-84.21, 33.96",Monday,11,33.96,-84.21
5,"-84.22, 33.92",Monday,11,33.92,-84.22
9,"-84.22, 33.96",Monday,11,33.96,-84.22
7,"-84.22, 33.97",Monday,11,33.97,-84.22
10,"-84.23, 33.94",Monday,11,33.94,-84.23
6,"-84.23, 33.96",Monday,11,33.96,-84.23
10,"-84.24, 33.94",Monday,11,33.94,-84.24
11,"-84.24, 33.95",Monday,11,33.95,-84.24
7,"-84.25, 33.91",Monday,11,33.91,-84.25
6,"-84.25, 33.94",Monday,11,33.94,-84.25
5,"-84.25, 33.95",Monday,11,33.95,-84.25
5,"-84.26, 33.96",Monday,11,33.96,-84.26
17,"-84.28, 33.9",Monday,11,33.9,-84.28
9,"-84.14, 33.96",Monday,12,33.96,-84.14
7,"-84.15, 34.0",Monday,12,34.0,-84.15
5,"-84.16, 33.97",Monday,12,33.97,-84.16
8,"-84.18, 33.96",Monday,12,33.96,-84.18
6,"-84.19, 33.97",Monday,12,33.97,-84.19
5,"-84.22, 33.92",Monday,12,33.92,-84.22
5,"-84.22, 33.94",Monday,12,33.94,-84.22
5,"-84.22, 33.95",Monday,12,33.95,-84.22
12,"-84.22, 33.97",Monday,12,33.97,-84.22
9,"-84.24, 33.94",Monday,12,33.94,-84.24
9,"-84.24, 33.95",Monday,12,33.95,-84.24
10,"-84.25, 33.94",Monday,12,33.94,-84.25
7,"-84.26, 33.94",Monday,12,33.94,-84.26
13,"-84.26, 33.96",Monday,12,33.96,-84.26
14,"-84.28, 33.9",Monday,12,33.9,-84.28
7,"-84.19, 33.97",Monday,13,33.97,-84.19
8,"-84.2, 33.89",Monday,13,33.89,-84.2
5,"-84.21, 33.9",Monday,13,33.9,-84.21
10,"-84.21, 33.94",Monday,13,33.94,-84.21
7,"-84.22, 33.91",Monday,13,33.91,-84.22
10,"-84.22, 33.92",Monday,13,33.92,-84.22
5,"-84.22, 33.93",Monday,13,33.93,-84.22
6,"-84.22, 33.96",Monday,13,33.96,-84.22
12,"-84.22, 33.97",Monday,13,33.97,-84.22
5,"-84.22, 33.98",Monday,13,33.98,-84.22
5,"-84.23, 33.94",Monday,13,33.94,-84.23
6,"-84.24, 33.94",Monday,13,33.94,-84.24
21,"-84.24, 33.95",Monday,13,33.95,-84.24
20,"-84.25, 33.94",Monday,13,33.94,-84.25
11,"-84.25, 33.95",Monday,13,33.95,-84.25
5,"-84.26, 33.95",Monday,13,33.95,-84.26
10,"-84.26, 33.96",Monday,13,33.96,-84.26
8,"-84.27, 33.92",Monday,13,33.92,-84.27
5,"-84.27, 33.93",Monday,13,33.93,-84.27
7,"-84.19, 33.97",Monday,14,33.97,-84.19
6,"-84.21, 33.9",Monday,14,33.9,-84.21
8,"-84.21, 33.93",Monday,14,33.93,-84.21
8,"-84.21, 33.94",Monday,14,33.94,-84.21
8,"-84.21, 33.96",Monday,14,33.96,-84.21
6,"-84.22, 33.91",Monday,14,33.91,-84.22
6,"-84.22, 33.92",Monday,14,33.92,-84.22
8,"-84.22, 33.93",Monday,14,33.93,-84.22
16,"-84.22, 33.97",Monday,14,33.97,-84.22
5,"-84.22, 33.98",Monday,14,33.98,-84.22
6,"-84.23, 33.93",Monday,14,33.93,-84.23
11,"-84.24, 33.94",Monday,14,33.94,-84.24
19,"-84.24, 33.95",Monday,14,33.95,-84.24
16,"-84.25, 33.94",Monday,14,33.94,-84.25
5,"-84.26, 33.94",Monday,14,33.94,-84.26
5,"-84.26, 33.95",Monday,14,33.95,-84.26
13,"-84.26, 33.96",Monday,14,33.96,-84.26
8,"-84.27, 33.92",Monday,14,33.92,-84.27
6,"-84.27, 33.93",Monday,14,33.93,-84.27
8,"-84.28, 33.9",Monday,14,33.9,-84.28
6,"-84.17, 34.06",Monday,15,34.06,-84.17
6,"-84.2, 33.89",Monday,15,33.89,-84.2
5,"-84.21, 33.9",Monday,15,33.9,-84.21
6,"-84.21, 33.93",Monday,15,33.93,-84.21
9,"-84.21, 33.96",Monday,15,33.96,-84.21
8,"-84.22, 33.91",Monday,15,33.91,-84.22
20,"-84.22, 33.97",Monday,15,33.97,-84.22
6,"-84.22, 33.98",Monday,15,33.98,-84.22
6,"-84.24, 33.94",Monday,15,33.94,-84.24
11,"-84.24, 33.95",Monday,15,33.95,-84.24
18,"-84.25, 33.94",Monday,15,33.94,-84.25
7,"-84.25, 33.95",Monday,15,33.95,-84.25
5,"-84.26, 33.93",Monday,15,33.93,-84.26
8,"-84.26, 33.94",Monday,15,33.94,-84.26
6,"-84.26, 33.95",Monday,15,33.95,-84.26
8,"-84.26, 33.96",Monday,15,33.96,-84.26
12,"-84.28, 33.9",Monday,15,33.9,-84.28
5,"-84.19, 33.93",Monday,16,33.93,-84.19
8,"-84.2, 33.92",Monday,16,33.92,-84.2
7,"-84.21, 33.91",Monday,16,33.91,-84.21
7,"-84.22, 33.91",Monday,16,33.91,-84.22
7,"-84.22, 33.93",Monday,16,33.93,-84.22
5,"-84.23, 33.92",Monday,16,33.92,-84.23
8,"-84.23, 33.93",Monday,16,33.93,-84.23
14,"-84.24, 33.95",Monday,16,33.95,-84.24
13,"-84.25, 33.94",Monday,16,33.94,-84.25
7,"-84.26, 33.95",Monday,16,33.95,-84.26
14,"-84.26, 33.96",Monday,16,33.96,-84.26
5,"-84.28, 33.9",Monday,16,33.9,-84.28
6,"-84.54, 33.89",Monday,16,33.89,-84.54
7,"-84.2, 33.92",Monday,17,33.92,-84.2
8,"-84.21, 33.9",Monday,17,33.9,-84.21
9,"-84.21, 33.96",Monday,17,33.96,-84.21
7,"-84.23, 33.93",Monday,17,33.93,-84.23
12,"-84.24, 33.95",Monday,17,33.95,-84.24
34,"-84.25, 33.94",Monday,17,33.94,-84.25
9,"-84.25, 33.95",Monday,17,33.95,-84.25
12,"-84.26, 33.94",Monday,17,33.94,-84.26
